15:03:51 INFO  manager.ApplicationManager - All tests start in Chrome
15:03:56 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //h5[.='Interactions']
15:03:56 INFO  manager.MyListener - Element with locator-->By.xpath: //h5[.='Interactions'] was found
15:03:56 INFO  tests.Base - Starts test named:--> resizableTest
15:03:56 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //span[.='Resizable']
15:03:56 INFO  manager.MyListener - Element with locator-->By.xpath: //span[.='Resizable'] was found
15:03:59 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: #resizableBoxWithRestriction span[class='react-resizable-handle react-resizable-handle-se']
15:03:59 INFO  manager.MyListener - Element with locator-->By.cssSelector: #resizableBoxWithRestriction span[class='react-resizable-handle react-resizable-handle-se'] was found
15:03:59 INFO  manager.MyListener - Start to find element with locator-->By.id: resizableBoxWithRestriction
15:03:59 INFO  manager.MyListener - Element with locator-->By.id: resizableBoxWithRestriction was found
15:04:00 INFO  tests.Base - Finished test named:--> resizableTest
