21:26:44 INFO  manager.ApplicationManager - All tests start in Chrome
21:26:49 INFO  tests.Base - Starts test named:--> testo
21:26:49 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: input[name='username']
21:26:49 INFO  manager.MyListener - Element with locator-->By.cssSelector: input[name='username'] was found
21:26:49 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: input[name='password']
21:26:49 INFO  manager.MyListener - Element with locator-->By.cssSelector: input[name='password'] was found
21:26:49 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: input[name='login']
21:26:49 INFO  manager.MyListener - Element with locator-->By.cssSelector: input[name='login'] was found
21:26:55 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: a[href='/my_plans.php']
21:26:55 INFO  manager.MyListener - Element with locator-->By.cssSelector: a[href='/my_plans.php'] was found
21:26:58 INFO  manager.MyListener - Start to find element with locator-->By.xpath: //li[@data-href='/pbl/edit_info.php?id=501349']/a
21:26:58 INFO  manager.MyListener - Element with locator-->By.xpath: //li[@data-href='/pbl/edit_info.php?id=501349']/a was found
21:27:03 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div[class='lead-name']
21:27:03 INFO  manager.MyListener - Element with locator-->By.cssSelector: div[class='lead-name'] was found
21:27:03 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div[class='selected-categories-list'] div
21:27:03 INFO  manager.MyListener - Element with locator-->By.cssSelector: div[class='selected-categories-list'] div was found
21:27:03 INFO  manager.MyListener - Start to find element with locator-->By.cssSelector: div[class='suggested-categories-list'] div[class='category-item ']:nth-child(1) input
21:27:03 INFO  manager.MyListener - Element with locator-->By.cssSelector: div[class='suggested-categories-list'] div[class='category-item ']:nth-child(1) input was found
21:27:18 INFO  tests.Base - Finished test named:--> testo
